Warehouse_block,Mode_of_Shipment,Product_importance,Weight_in_gms,Cost_of_the_Product,Discount_offered,Reached.on.Time_Y.N
D,Ship,medium,1496,160,58,1
F,Ship,medium,1993,145,37,1
A,Ship,high,1027,143,5,1
B,Ship,medium,2925,201,59,1
C,Ship,low,3997,242,62,1
F,Ship,low,1001,151,38,1
D,Ship,medium,3705,199,25,1
F,Ship,medium,1006,178,9,1
A,Ship,low,1923,138,49,1
B,Ship,medium,1407,162,38,1
C,Ship,low,1101,154,33,1
F,Ship,medium,2069,206,56,1
D,Ship,low,3617,246,4,1
F,Ship,medium,3606,233,47,1
A,Ship,medium,2906,251,33,1
B,Ship,medium,1313,165,61,1
C,Ship,low,3709,183,32,1
F,Ship,low,1597,109,30,1
D,Ship,medium,2675,209,7,1
F,Ship,low,1486,168,50,1
A,Ship,low,3920,210,19,1
B,Ship,low,3787,185,41,1
C,Ship,medium,2758,243,58,1
F,Ship,low,2777,258,55,1
D,Ship,medium,2697,279,56,1
F,Ship,low,1833,160,57,1
A,Ship,low,3648,185,35,1
B,Ship,low,3499,271,24,1
C,Ship,low,2229,273,31,1
F,Ship,medium,2100,208,23,1
D,Ship,low,1823,137,20,1
F,Ship,medium,3135,198,56,1
A,Ship,high,3231,236,64,1
B,Ship,low,1134,133,18,1
C,Ship,medium,3676,191,12,1
F,Ship,low,3551,202,51,1
D,Ship,low,1727,162,47,1
F,Ship,low,2959,224,14,1
A,Ship,high,3082,191,65,1
B,Ship,medium,2438,272,31,1
C,Ship,low,2538,269,7,1
F,Ship,high,1076,179,30,1
D,Ship,low,2596,225,56,1
F,Ship,medium,1185,132,6,1
A,Ship,low,3118,244,52,1
B,Ship,low,2849,185,62,1
C,Ship,low,3103,257,64,1
F,Ship,low,3788,253,63,1
D,Ship,low,1502,174,5,1
F,Ship,medium,2199,200,34,1
A,Ship,medium,1745,150,8,1
B,Ship,medium,1347,137,9,1
C,Ship,medium,2981,181,29,1
F,Ship,medium,2652,246,13,1
D,Ship,low,2057,237,48,1
F,Road,medium,2465,226,55,1
A,Road,low,2892,225,51,1
B,Road,low,2731,268,20,1
C,Road,low,1140,146,41,1
F,Road,low,1048,159,2,1
D,Road,low,1829,135,38,1
F,Road,medium,1946,134,45,1
A,Road,low,2742,210,3,1
B,Road,low,2042,238,13,1
C,Road,low,3446,214,34,1
F,Road,low,2725,204,35,1
D,Road,low,3100,227,5,1
F,Road,high,2849,253,18,1
A,Road,high,1364,126,3,1
B,Road,high,2759,208,20,1
C,Road,low,1943,179,48,1
F,Road,medium,1909,132,62,1
D,Road,low,1496,144,56,1
F,Road,medium,3360,236,58,1
A,Road,low,3715,235,17,1
B,Road,low,3885,254,29,1
C,Road,medium,1027,144,43,1
F,Flight,medium,2415,272,27,1
D,Flight,medium,3675,191,17,1
F,Flight,medium,1159,177,60,1
A,Flight,low,3149,226,46,1
B,Flight,medium,1493,132,12,1
C,Flight,low,1577,121,60,1
F,Flight,low,1021,171,40,1
D,Flight,high,1900,178,12,1
F,Flight,medium,1767,132,10,1
A,Flight,medium,3078,249,43,1
B,Flight,medium,1547,159,47,1
C,Flight,high,1029,171,34,1
F,Flight,low,1775,150,6,1
D,Flight,low,1165,178,1,1
F,Flight,high,2152,192,25,1
A,Flight,high,3628,214,50,1
B,Flight,medium,3162,225,45,1
C,Flight,medium,1691,167,23,1
F,Flight,medium,2769,245,4,1
D,Flight,medium,1366,138,60,1
F,Flight,medium,1847,173,64,1
A,Flight,medium,1635,98,48,1
B,Ship,low,3688,231,44,1
C,Ship,medium,1346,149,50,1
F,Ship,medium,2892,206,28,1
D,Ship,medium,3441,264,34,1
F,Ship,medium,2728,193,23,1
A,Ship,medium,1092,263,4,1
B,Ship,medium,2277,191,16,1
C,Ship,medium,1920,177,48,1
F,Ship,low,2348,226,50,1
D,Ship,medium,1731,132,16,1
F,Ship,low,1505,121,62,1
A,Ship,low,1352,171,34,1
B,Ship,high,1517,178,43,1
C,Ship,medium,1692,132,44,1
F,Ship,medium,3897,249,26,1
D,Ship,medium,1477,159,39,1
F,Ship,high,1554,171,14,1
A,Ship,low,1831,150,43,1
B,Ship,low,1906,178,19,1
C,Ship,high,3634,192,36,1
F,Ship,high,2924,214,6,1
D,Ship,medium,3516,225,17,1
F,Ship,medium,1619,167,43,1
A,Ship,medium,2178,245,60,1
B,Ship,medium,1530,138,65,1
C,Ship,medium,1609,173,61,1
F,Ship,medium,1057,98,60,1
D,Ship,low,3811,231,24,1
F,Ship,medium,1425,149,51,1
A,Ship,medium,3746,206,21,1
B,Ship,medium,2960,264,34,1
C,Ship,medium,3730,193,12,1
F,Ship,medium,1657,263,51,1
D,Ship,low,1173,282,63,1
F,Ship,low,2758,193,55,1
A,Ship,medium,1594,171,11,1
B,Ship,low,2703,212,19,1
C,Ship,low,1213,159,44,1
F,Ship,medium,1220,102,57,1
D,Ship,medium,1690,145,29,1
F,Ship,high,2585,225,43,1
A,Ship,medium,1358,174,12,1
B,Ship,low,3148,223,25,1
C,Ship,low,3501,185,36,1
F,Ship,medium,2717,245,6,1
D,Ship,high,1223,99,63,1
F,Ship,low,1417,141,35,1
A,Ship,medium,2518,222,16,1
B,Ship,medium,3233,192,64,1
C,Ship,medium,3621,187,42,1
F,Ship,low,2431,216,26,1
D,Ship,low,1790,146,13,1
F,Ship,low,3419,207,20,1
A,Ship,low,2010,225,6,1
B,Ship,medium,2302,230,15,1
C,Ship,medium,1990,173,37,1
F,Ship,high,1239,127,54,1
D,Ship,low,3869,214,28,1
F,Ship,low,1454,161,59,1
A,Ship,low,3523,262,37,1
B,Ship,low,1798,157,1,1
C,Ship,medium,1803,164,9,1
F,Ship,low,1577,174,11,1
D,Ship,medium,2424,188,39,1
F,Ship,low,1297,141,4,1
A,Ship,medium,1785,134,64,1
B,Ship,medium,1738,147,65,1
C,Ship,medium,1551,180,27,1
F,Ship,medium,2259,225,55,1
D,Ship,medium,1522,172,11,1
F,Ship,medium,1718,131,5,1
A,Ship,low,3487,270,47,1
B,Ship,low,1103,172,56,1
C,Ship,medium,2129,198,33,1
F,Ship,low,1637,167,21,1
D,Ship,medium,1885,168,1,1
F,Ship,medium,1831,165,34,1
A,Ship,medium,1974,149,40,1
B,Ship,low,3262,186,24,1
C,Ship,low,1682,151,47,1
F,Ship,medium,1569,146,30,1
D,Ship,low,2526,232,54,1
F,Ship,low,1698,177,22,1
A,Ship,medium,1665,149,19,1
B,Ship,low,1518,180,3,1
C,Ship,medium,1446,172,40,1
F,Ship,medium,1054,160,44,1
D,Ship,medium,2822,206,28,1
F,Ship,low,1685,146,9,1
A,Ship,low,2130,257,24,1
B,Ship,medium,3430,219,27,1
C,Ship,medium,3416,274,55,1
F,Ship,low,1249,177,36,1
D,Road,medium,3741,209,57,1
F,Road,low,3242,207,2,1
A,Road,low,1613,153,27,1
B,Road,low,1507,158,61,1
C,Road,medium,3340,261,52,1
F,Road,low,2047,182,41,1
D,Road,medium,1530,128,53,1
F,Road,low,1184,178,6,1
A,Road,low,2555,198,37,1
B,Road,medium,1299,137,46,1
C,Road,low,1515,168,41,1
F,Road,low,3276,248,36,1
D,Road,medium,2411,225,29,1
F,Road,low,2107,239,35,1
A,Road,low,3658,256,43,1
B,Road,high,1479,109,23,1
C,Road,medium,3436,274,59,1
F,Road,low,1951,157,65,1
D,Road,medium,1212,125,12,1
F,Road,low,2421,203,20,1
A,Road,low,1534,120,55,1
B,Road,medium,2695,194,21,1
C,Flight,high,2269,257,58,1
F,Flight,medium,2291,233,39,1
D,Flight,low,2775,193,1,1
F,Flight,low,2936,202,34,1
A,Flight,low,2720,270,30,1
B,Flight,medium,2723,240,12,1
C,Flight,medium,2085,224,63,1
F,Flight,medium,2878,195,19,1
D,Flight,medium,1639,165,47,1
F,Flight,medium,1124,164,3,1
A,Flight,low,1304,105,58,1
B,Flight,low,2616,248,9,1
C,Flight,medium,3950,269,62,1
F,Flight,low,2591,253,36,1
D,Flight,medium,3755,231,60,1
F,Flight,low,1532,164,39,1
A,Flight,medium,1705,176,14,1
B,Flight,medium,1990,149,17,1
C,Flight,medium,3781,187,16,1
F,Flight,low,1319,150,53,1
D,Flight,medium,2715,190,18,1
F,Flight,low,3077,226,42,1
A,Ship,low,1539,98,32,1
B,Ship,medium,1800,152,6,1
C,Ship,medium,1575,173,34,1
F,Ship,high,1861,160,65,1
D,Ship,low,1261,180,22,1
F,Ship,medium,1817,175,12,1
A,Ship,low,2986,274,6,1
B,Ship,low,2263,216,4,1
C,Ship,low,3077,283,18,1
F,Ship,high,2944,192,19,1
D,Ship,medium,2584,236,43,1
F,Ship,high,2835,232,46,1
A,Ship,low,3135,204,20,1
B,Ship,medium,1436,138,46,1
C,Ship,low,1016,154,29,1
F,Ship,low,3125,244,17,1
D,Ship,medium,1867,144,48,1
F,Ship,medium,3076,274,19,1
A,Ship,low,3972,182,54,1
B,Ship,low,3352,250,53,1
C,Ship,medium,2945,207,14,1
F,Ship,high,3011,242,54,1
D,Ship,low,1671,154,37,1
F,Ship,medium,1472,176,53,1
A,Ship,low,3701,252,18,1
B,Ship,medium,1666,147,32,1
C,Ship,low,1306,157,1,1
F,Ship,medium,3517,257,37,1
D,Ship,medium,1261,172,6,1
F,Ship,high,1629,134,22,1
A,Ship,low,1212,152,48,1
B,Ship,low,1918,161,57,1
C,Ship,low,3033,269,47,1
F,Ship,medium,1689,164,64,1
D,Ship,medium,1746,114,60,1
F,Ship,low,2709,213,7,1
A,Ship,medium,2777,255,60,1
B,Ship,medium,1329,135,28,1
C,Ship,medium,1434,155,7,1
F,Ship,medium,2532,273,32,1
D,Ship,low,1008,135,15,1
F,Ship,low,1188,170,29,1
A,Ship,medium,1181,138,15,1
B,Ship,low,3502,213,53,1
C,Ship,high,1619,156,55,1
F,Ship,low,1241,139,47,1
D,Ship,medium,2715,263,6,1
F,Ship,low,1850,160,53,1
A,Ship,low,1402,148,39,1
B,Ship,high,3761,259,45,1
C,Ship,low,3384,273,60,1
F,Ship,medium,2521,212,9,1
D,Ship,low,1110,144,46,1
F,Ship,medium,2867,193,64,1
A,Ship,low,3706,198,44,1
B,Ship,low,3770,207,45,1
C,Ship,low,2030,236,10,1
F,Ship,low,1702,165,7,1
D,Ship,low,1693,162,3,1
F,Ship,low,3609,184,63,1
A,Ship,medium,1834,145,48,1
B,Ship,medium,3473,228,27,1
C,Ship,high,2522,213,12,1
F,Ship,medium,1162,146,1,1
D,Ship,high,2459,220,39,1
F,Ship,medium,3441,231,49,1
A,Ship,low,3337,212,56,1
B,Ship,low,2213,202,48,1
C,Ship,low,2905,208,39,1
F,Ship,low,2460,200,46,1
D,Ship,low,2736,250,37,1
F,Ship,low,1192,126,29,1
A,Ship,medium,2762,222,42,1
B,Ship,low,3140,236,61,1
C,Ship,low,1484,165,4,1
F,Ship,low,1700,162,17,1
D,Ship,low,3436,184,37,1
F,Ship,medium,1965,145,6,1
A,Ship,medium,3306,228,46,1
B,Ship,high,2581,213,27,1
C,Ship,medium,1289,146,18,1
F,Ship,high,3886,220,2,1
D,Ship,medium,3792,231,39,1
F,Ship,low,2750,212,34,1
A,Ship,low,2651,202,38,1
B,Ship,low,3450,208,62,1
C,Ship,low,3791,200,4,1
F,Ship,low,3617,250,8,1
D,Ship,low,1141,126,63,1
F,Ship,medium,3697,222,49,1
A,Ship,low,1771,273,6,1
B,Ship,medium,1338,161,20,1
C,Ship,medium,1347,236,10,1
F,Road,medium,1864,281,8,1
D,Road,low,1298,168,7,1
F,Road,low,1137,206,62,1
A,Road,high,1294,144,5,1
B,Road,medium,2988,239,19,1
C,Road,medium,1513,129,52,1
F,Road,medium,3498,201,46,1
D,Road,medium,1911,160,55,1
F,Road,low,1971,130,60,1
A,Road,medium,1067,132,58,1
B,Road,medium,2583,185,36,1
C,Road,low,2718,271,4,1
F,Road,medium,1539,168,20,1
D,Road,medium,1389,154,50,1
F,Road,low,3114,203,4,1
A,Road,low,2087,274,4,1
B,Road,low,3298,280,19,1
C,Road,low,3151,196,51,1
F,Road,medium,1675,159,63,1
D,Road,medium,2522,269,15,1
F,Road,low,1199,161,52,1
A,Road,medium,1806,159,44,1
B,Flight,medium,1145,147,21,1
C,Flight,medium,3754,214,4,1
F,Flight,medium,1038,157,12,1
D,Flight,medium,1936,147,19,1
F,Flight,medium,3545,182,11,1
A,Flight,low,2711,188,12,1
B,Flight,low,1021,104,1,1
C,Flight,low,2641,195,55,1
F,Flight,high,2107,235,64,1
D,Flight,medium,3830,219,21,1
F,Flight,low,3389,253,36,1
A,Flight,medium,2489,253,57,1
B,Flight,low,1197,167,42,1
C,Flight,low,2520,211,39,1
F,Flight,medium,1548,155,4,1
D,Flight,medium,2455,231,23,1
F,Flight,low,3063,182,61,1
A,Flight,medium,3547,212,56,1
B,Flight,high,1861,107,13,1
C,Flight,high,1161,172,61,1
F,Flight,low,2180,224,40,1
D,Flight,high,3650,209,37,1
F,Ship,medium,3076,268,46,1
A,Ship,low,1909,141,9,1
B,Ship,low,3068,260,17,1
C,Ship,medium,1441,151,10,1
F,Ship,medium,3276,184,27,1
D,Ship,high,3908,270,52,1
F,Ship,medium,1908,135,20,1
A,Ship,low,3889,276,3,1
B,Ship,medium,1142,177,23,1
C,Ship,medium,1920,149,64,1
F,Ship,low,3602,220,19,1
D,Ship,low,3742,267,53,1
F,Ship,medium,3958,274,50,1
A,Ship,low,3327,243,10,1
B,Ship,low,1647,166,44,1
C,Ship,medium,2049,225,1,1
F,Ship,medium,1117,138,40,1
D,Ship,medium,1599,141,38,1
F,Ship,medium,2693,271,16,1
A,Ship,medium,2374,243,35,1
B,Ship,medium,2333,231,53,1
C,Ship,low,1779,168,34,1
F,Ship,low,2025,264,61,1
D,Ship,medium,2624,233,26,1
F,Ship,medium,3630,247,17,1
A,Ship,low,1095,176,4,1
B,Ship,medium,2040,257,31,1
C,Ship,low,1613,147,18,1
F,Ship,low,3936,195,6,1
D,Ship,medium,1264,153,57,1
F,Ship,low,3903,237,28,1
A,Ship,low,3725,217,7,1
B,Ship,medium,1322,140,48,1
C,Ship,medium,1439,164,2,1
F,Ship,medium,2052,243,27,1
D,Ship,high,1137,158,41,1
F,Ship,high,1200,180,10,1
A,Ship,low,1814,139,64,1
B,Ship,medium,1386,162,8,1
C,Ship,low,3104,206,18,1
F,Ship,low,2196,238,19,1
D,Ship,medium,3297,254,4,1
F,Ship,medium,3669,270,38,1
A,Ship,low,3732,255,18,1
B,Ship,low,3332,182,13,1
C,Ship,medium,1145,149,7,1
F,Ship,medium,3075,221,22,1
D,Ship,low,1026,135,60,1
F,Ship,low,2074,188,14,1
A,Ship,low,2256,194,47,1
B,Ship,medium,1010,134,29,1
C,Ship,medium,3142,210,29,1
F,Ship,low,1322,169,22,1
D,Ship,low,1040,147,52,1
F,Ship,low,3585,213,21,1
A,Ship,low,3595,223,64,1
B,Ship,medium,2671,233,60,1
C,Ship,high,2990,218,1,1
F,Ship,medium,3684,219,27,1
D,Ship,low,1212,145,44,1
F,Ship,low,3370,257,44,1
A,Ship,medium,3375,238,59,1
B,Ship,low,1673,145,32,1
C,Ship,low,2111,243,36,1
F,Ship,low,1369,179,18,1
D,Ship,high,2033,188,25,1
F,Ship,medium,1782,168,53,1
A,Ship,low,1252,157,58,1
B,Ship,low,1943,172,32,1
C,Ship,low,3690,195,37,1
F,Ship,low,3488,225,59,1
D,Ship,medium,2749,227,24,1
F,Ship,low,1857,159,46,1
A,Ship,low,2633,273,56,1
B,Ship,low,3234,214,3,1
C,Ship,medium,1005,175,34,1
F,Ship,low,2857,213,39,1
D,Ship,medium,3115,190,12,1
F,Ship,medium,2637,265,40,1
A,Ship,low,1899,146,12,1
B,Ship,medium,2419,229,44,1
C,Ship,medium,2439,195,47,1
F,Ship,low,1652,151,34,1
D,Ship,low,3133,217,1,1
F,Ship,low,1716,134,14,1
A,Ship,low,3814,195,42,1
B,Ship,low,1420,142,29,1
C,Ship,medium,3624,182,1,1
F,Ship,low,1043,155,48,1
D,Ship,medium,2726,238,34,1
F,Ship,medium,3198,182,49,1
A,Ship,medium,2231,237,22,1
B,Ship,low,3503,222,24,1
C,Road,medium,1664,177,45,1
F,Road,medium,3280,197,41,1
D,Road,low,3672,224,48,1
F,Road,low,3097,193,19,1
A,Road,high,1740,169,24,1
B,Road,medium,2983,248,15,1
C,Road,medium,3618,246,50,1
F,Road,medium,2686,232,55,1
D,Road,low,2476,251,21,1
F,Road,medium,1443,163,58,1
A,Road,low,5916,201,4,1
B,Road,medium,5031,141,8,0
C,Road,low,5956,219,4,0
F,Road,high,4245,161,7,0
D,Road,medium,4622,225,5,0
F,Road,medium,4186,277,1,1
A,Road,medium,4732,256,3,0
B,Road,low,4597,153,1,1
C,Road,low,4651,135,4,1
F,Road,medium,5085,253,7,0
D,Road,low,5335,139,5,0
F,Road,high,4971,136,1,0
A,Flight,medium,4883,172,7,0
B,Flight,high,4559,272,6,0
C,Flight,high,5632,207,1,1
F,Flight,low,5958,134,4,0
D,Flight,medium,4943,238,3,0
F,Flight,high,4167,274,3,1
A,Flight,low,5695,237,8,0
B,Flight,high,5455,153,2,0
C,Flight,low,4974,223,8,1
F,Flight,low,5040,149,1,1
D,Flight,low,4013,132,7,1
F,Flight,low,5616,246,7,0
A,Flight,low,5547,159,4,1
B,Flight,high,5429,162,10,0
C,Flight,medium,4292,123,5,0
F,Flight,high,5558,231,9,0
D,Flight,medium,4862,213,9,0
F,Flight,high,5834,160,1,0
A,Flight,low,5060,225,5,1
B,Flight,low,4811,178,3,0
C,Flight,medium,5055,273,5,0
F,Flight,high,4342,129,9,1
D,Ship,low,1198,273,9,1
F,Ship,medium,1247,161,8,0
A,Ship,low,5824,139,3,1
B,Ship,high,4002,136,6,1
C,Ship,medium,4201,172,1,0
F,Ship,high,5927,272,7,0
D,Ship,high,4909,207,3,1
F,Ship,low,4444,134,6,1
A,Ship,medium,4388,238,3,1
B,Ship,high,5622,274,1,0
C,Ship,low,5588,237,8,0
F,Ship,high,5305,153,7,0
D,Ship,low,4026,223,7,1
F,Ship,low,5412,149,9,0
A,Ship,low,5721,132,6,1
B,Ship,low,4710,246,5,0
C,Ship,low,4666,159,4,1
F,Ship,high,4842,162,10,0
D,Ship,medium,4231,123,10,0
F,Ship,high,5755,231,6,0
A,Ship,medium,4847,213,2,0
B,Ship,high,5141,160,2,1
C,Ship,low,4195,225,8,0
F,Ship,low,5540,178,3,0
D,Ship,medium,4374,273,2,0
F,Ship,high,5197,129,7,1
A,Ship,low,1293,273,1,0
B,Ship,medium,1747,161,3,1
C,Ship,low,1149,206,5,0
F,Ship,medium,1678,296,1,0
D,Ship,medium,1887,249,6,0
F,Ship,low,1931,301,6,0
A,Ship,low,1991,296,4,0
B,Ship,low,1648,205,2,0
C,Ship,low,4355,132,9,1
F,Ship,high,4282,223,5,0
D,Ship,medium,4312,190,2,0
F,Ship,low,4331,194,1,0
A,Ship,medium,5138,176,2,0
B,Ship,medium,4388,227,8,0
C,Ship,low,5435,149,9,0
F,Ship,low,5836,173,7,0
D,Ship,low,5410,181,6,0
F,Ship,low,4015,251,4,0
A,Ship,low,4909,243,2,0
B,Ship,low,4398,210,10,1
C,Ship,medium,4028,145,9,0
F,Ship,low,4546,196,10,0
D,Ship,medium,5735,154,5,1
F,Ship,low,4432,164,6,1
A,Ship,medium,4379,210,1,1
B,Ship,low,5219,212,7,0
C,Ship,medium,4868,263,9,1
F,Ship,low,5481,155,3,1
D,Ship,low,4211,223,9,0
F,Ship,low,4489,269,3,0
A,Ship,low,4046,117,6,0
B,Ship,low,4105,151,3,1
C,Ship,medium,4743,271,4,1
F,Ship,low,5714,205,10,0
D,Ship,medium,5431,210,9,1
F,Ship,medium,4277,133,8,0
A,Ship,medium,5195,215,5,1
B,Ship,low,4691,140,2,0
C,Ship,low,5955,255,8,1
F,Ship,low,4190,159,5,0
D,Ship,low,5352,169,8,1
F,Ship,medium,4554,182,2,1
A,Ship,low,4406,231,10,1
B,Ship,low,4445,177,6,0
C,Ship,medium,5055,250,3,1
F,Ship,medium,5122,145,4,1
D,Ship,high,4268,117,2,1
F,Ship,low,4716,170,5,1
A,Ship,high,5382,173,9,1
B,Ship,medium,4658,232,8,1
C,Ship,medium,5510,231,4,0
F,Ship,medium,4524,136,2,1
D,Ship,medium,4496,189,5,1
F,Ship,low,5340,222,7,0
A,Ship,high,5034,148,7,1
B,Ship,medium,5464,265,7,1
C,Ship,low,5877,181,3,0
F,Ship,high,5898,189,4,1
D,Ship,medium,4808,160,6,1
F,Ship,medium,4186,235,10,0
A,Ship,medium,4191,100,4,0
B,Ship,medium,5765,135,7,1
C,Ship,low,4883,137,6,0
F,Ship,high,5337,222,9,0
D,Ship,medium,4078,246,10,1
F,Ship,medium,5486,202,8,1
A,Ship,low,5043,273,1,1
B,Road,low,5881,248,9,1
C,Road,medium,4194,199,5,0
F,Road,medium,4104,209,7,1
D,Road,low,4905,216,2,0
F,Road,low,4318,227,2,1
A,Road,medium,4416,216,4,0
B,Road,medium,5892,242,1,1
C,Road,medium,4949,217,8,1
F,Road,medium,4613,160,9,0
D,Road,medium,5257,141,4,0
F,Road,medium,4595,263,5,0
A,Road,low,5359,171,7,1
B,Road,low,4864,195,4,0
C,Road,low,5561,237,4,1
F,Road,low,5693,241,4,1
D,Road,medium,4230,134,9,1
F,Road,low,5398,156,5,1
A,Road,low,6000,211,6,0
B,Road,low,4769,243,5,0
C,Road,medium,4116,196,7,1
F,Road,medium,4960,242,7,0
D,Road,low,4449,175,3,0
F,Flight,low,5154,155,1,0
A,Flight,low,4808,200,9,1
B,Flight,low,4586,191,4,0
C,Flight,low,5895,221,6,0
F,Flight,low,4511,135,9,0
D,Flight,medium,5943,152,7,1
F,Flight,low,4649,172,7,0
A,Flight,high,5643,253,2,1
B,Flight,high,5360,270,10,0
C,Flight,high,5041,139,3,0
F,Flight,medium,5088,257,9,0
D,Flight,low,4283,155,5,1
F,Flight,low,4933,125,5,1
A,Flight,low,4597,233,7,1
B,Flight,medium,4989,205,6,1
C,Flight,medium,4420,243,4,1
F,Flight,low,4919,208,10,0
D,Flight,medium,4392,230,6,0
F,Flight,medium,4949,205,5,1
A,Flight,low,5664,170,2,0
B,Flight,medium,4268,222,5,0
C,Flight,low,4213,186,3,0
F,Ship,low,5218,208,8,0
D,Ship,medium,5897,223,9,0
F,Ship,medium,4006,154,8,0
A,Ship,medium,4011,235,10,0
B,Ship,medium,4137,271,1,0
C,Ship,low,5206,250,2,0
F,Ship,medium,5159,206,4,0
D,Ship,low,5121,153,10,1
F,Ship,medium,4117,212,6,1
A,Ship,high,5686,168,6,0
B,Ship,low,5379,171,10,1
C,Ship,low,4462,132,10,1
F,Ship,low,4857,141,9,0
D,Ship,low,4334,254,1,0
F,Ship,medium,5221,159,6,0
A,Ship,low,4803,194,4,1
B,Ship,low,4203,178,6,0
C,Ship,low,5712,151,2,1
F,Ship,low,4125,244,5,1
D,Ship,low,5287,237,8,1
F,Ship,medium,5184,241,9,0
A,Ship,low,5923,156,3,0
B,Ship,medium,5021,243,1,0
C,Ship,medium,4289,219,4,0
F,Ship,high,5776,168,2,0
D,Ship,high,5661,224,8,0
F,Ship,medium,5840,216,2,1
A,Ship,low,4698,187,6,0
B,Ship,high,4037,204,1,1
C,Ship,low,4140,266,10,0
F,Ship,low,4931,179,2,1
D,Ship,low,4776,184,10,0
F,Ship,medium,4431,204,2,0
A,Ship,medium,4332,255,7,1
B,Ship,medium,5252,272,5,0
C,Ship,low,4947,186,7,1
F,Ship,medium,4369,147,6,0
D,Ship,medium,5361,145,4,1
F,Ship,medium,5715,255,6,0
A,Ship,low,4663,133,7,0
B,Ship,low,4985,155,1,0
C,Ship,medium,4796,151,10,0
F,Ship,high,4914,270,3,1
D,Ship,high,4942,234,6,0
F,Ship,medium,4352,186,4,0
A,Ship,medium,5937,157,6,0
B,Ship,low,5947,268,7,0
C,Ship,low,4486,244,10,1
F,Ship,low,4554,190,2,0
D,Ship,low,5038,161,5,0
F,Ship,high,5893,162,2,1
A,Ship,medium,5739,163,6,0
B,Ship,low,5777,211,5,1
C,Ship,medium,4977,205,1,1
F,Ship,medium,4442,150,4,1
D,Ship,medium,4623,209,10,1
F,Ship,medium,5298,250,6,0
A,Ship,high,4431,206,1,1
B,Ship,low,4198,244,2,0
C,Ship,low,4615,180,2,1
F,Ship,medium,5784,256,1,1
D,Ship,medium,5672,273,2,1
F,Ship,medium,4872,178,6,0
A,Ship,medium,1233,296,2,0
B,Ship,medium,1752,249,9,0
C,Ship,medium,5470,151,3,0
F,Ship,high,5346,270,5,0
D,Ship,high,4568,234,7,1
F,Ship,medium,5841,186,9,0
A,Ship,medium,5801,157,3,0
B,Ship,low,5488,268,3,1
C,Ship,low,4644,244,3,1
F,Ship,low,4800,190,2,0
D,Ship,low,5322,161,10,0
F,Ship,high,4489,162,10,1
A,Ship,medium,5489,163,9,1
B,Ship,low,4417,211,2,0
C,Ship,medium,4869,205,5,1
F,Ship,medium,5536,150,4,0
D,Ship,medium,5565,209,9,0
F,Ship,medium,4343,250,4,0
A,Ship,high,4763,206,8,1
B,Ship,low,5695,244,9,0
C,Ship,low,5033,180,2,1
F,Ship,medium,4504,256,10,1
D,Ship,medium,4044,273,6,1
F,Ship,medium,4120,178,5,1
A,Ship,medium,1523,296,9,1
B,Ship,medium,1712,275,2,1
C,Ship,low,4351,270,2,1
F,Ship,medium,4616,224,6,0
D,Ship,low,4668,172,4,0
F,Ship,low,4774,176,1,0
A,Road,low,4099,240,9,0
B,Road,low,4535,213,5,1
C,Road,low,5707,197,2,0
F,Road,low,4289,167,7,1
D,Road,low,5013,180,2,1
F,Road,low,4146,119,10,1
A,Road,low,5447,232,3,0
B,Road,medium,5536,139,7,0
C,Road,low,4459,272,2,1
F,Road,low,4915,253,7,0
D,Road,low,5376,188,4,0
F,Road,medium,5169,202,5,0
A,Road,low,5802,134,7,1
B,Road,medium,4252,110,3,1
C,Road,low,4532,172,9,1
F,Road,low,4222,188,3,0
D,Road,medium,5365,258,6,1
F,Road,low,5673,234,10,0
A,Road,medium,5301,148,9,0
B,Road,low,5396,194,2,0
C,Road,medium,5413,266,2,1
F,Road,medium,5559,158,7,1
D,Flight,high,4984,228,6,1
F,Flight,low,5671,159,1,0
A,Flight,low,4107,255,10,0
B,Flight,low,5481,213,4,1
C,Flight,low,4693,148,5,1
F,Flight,medium,5957,219,6,1
D,Flight,medium,5731,168,9,1
F,Flight,medium,4802,148,6,0
A,Flight,low,5467,149,5,0
B,Flight,high,4793,245,9,0
C,Flight,medium,5178,200,10,1
F,Flight,medium,5530,228,9,0
D,Flight,low,4053,175,2,0
F,Flight,low,5895,201,9,1
A,Flight,low,5140,267,7,0
B,Flight,medium,5450,217,9,0
C,Flight,high,4409,160,3,0
F,Flight,low,4279,264,2,1
D,Flight,high,5898,179,5,1
F,Flight,medium,4921,259,10,1
A,Flight,high,5403,178,5,0
B,Flight,medium,4694,242,6,0
C,Ship,low,5671,235,4,0
F,Ship,medium,5098,247,7,0
D,Ship,low,4138,240,7,1
F,Ship,low,5559,252,4,0
A,Ship,low,5600,237,8,1
B,Ship,low,5947,161,4,0
C,Ship,low,4075,144,10,0
F,Ship,medium,5432,163,2,1
D,Ship,low,5118,246,5,0
F,Ship,medium,5993,213,10,1
A,Ship,low,5497,123,9,0
B,Ship,low,4045,192,1,1
C,Ship,low,5658,149,8,1
F,Ship,high,4583,206,1,0
D,Ship,low,5218,243,8,0
F,Ship,low,4585,136,1,1
A,Ship,medium,5182,170,5,0
B,Ship,low,4321,180,8,1
C,Ship,low,5663,220,1,0
F,Ship,low,5994,144,6,1
D,Ship,medium,4218,271,6,0
F,Ship,medium,4887,186,9,1
A,Ship,medium,5255,247,4,1
